GENE_NAME	human.mean
CCDC138	0.565
LAPTM4A	82.5
ZSWIM2	0.01
FBXO41	0.11
ACTG2	2.525
VSNL1	10.325
COQ8A	51.195
SLC16A14	0.805
EN1	0.02
TTC7A	3.015
SGCB	1.24
SPATA18	0.375
NOSTRIN	2.95
SGPP2	0.215
INHBB	1.06
XIRP2	0
SMARCAD1	1.025
HPGDS	0.24
IP6K2	25.46
PDLIM5	12.165
STPG2	0.025
NEURL3	0.71
RPRD2	3.59
ANKRD23	1.49
CTSS	15.715
MSX1	0.22
MYCBP2	8.875
TNFAIP8L2	1.42
LYSMD1	1.855
SCNM1	12.33
TMOD4	0.23
VPS72	12.805
ERCC3	7.94
RNF149	15.235
IWS1	8.58
SRBD1	2.02
SPRR3	0
DHX57	2.145
BMP10	0.295
ARHGAP25	2.465
S100A12	0.345
TGFA	0.725
TDRD10	1.26
KIF2A	0.715
CCNYL1	4.85
FZD5	8.3
C1orf189	0.105
NPPC	0
GNPDA2	0.765
GABRG1	0.005
GABRB1	0
PAQR3	2.435
NIPAL1	1.285
ANTXR2	12.635
HELQ	2.13
GPR155	1.84
DAPL1	0
PMVK	62.25
PBXIP1	15.96
CLDN1	62.46
PYGO2	6.11
HIPK1	5.315
DCST2	0.635
DCST1	0.14
COL6A3	2.81
KBTBD8	0.1
FAM19A4	0.045
EOGT	0.72
LMOD3	0.075
NAXE	63.785
POGLUT1	2.46
SLC22A15	0.025
CCKAR	0
ATP1A1	76.145
EIF4E3	2.43
SIRT2	27.87
PROK2	0.07
LRRC58	1.065
FSTL1	5.255
LMOD1	0.87
ELF3	4.65
IGFBP7	74.515
TRIM46	0.125
ARPC2	43.085
TSACC	1.3
TMEM79	2.05
SSR2	73.875
RNF25	12.32
STK36	4.435
ADORA1	0.345
NEK10	0.65
FEV	0
IHH	2.53
CIP2A	0.095
EOMES	0.595
TGFBR2	7.72
PYGM	0.45
ANKZF1	12.43
TRAT1	0.265
FBLN2	2.115
GLB1L	1.475
STT3B	20.68
NFASC	0.68
FCRL1	0.09
FBXL3	6.975
SERPINI1	0.8
CLASP2	4.465
SUCLG1	68.945
NUAK2	0.79
SPTA1	0
PRKCI	1.965
EFHB	0.015
FABP1	3447.465
ICA1L	0.825
CTLA4	0.095
ICOS	0.02
RYBP	2.4
GTPBP8	2.045
NEPRO	5.815
TRPC7	0.06
SPICE1	0.845
CCDC191	0.35
CADPS	0.1
NKX6-1	0.015
CDS1	0.29
WDFY3	2.47
COX18	5.18
SYNPR	0.035
ALB	84137.145
C3orf49	0.42
ATXN7	2.31
PSMD6	22.47
PRICKLE2	1
ADAMTS9	1.33
PPM1K	1.97
ERICH6	0.215
CLRN1	0.01
GMPS	6.865
ADGRF5	1.975
TIPARP	3.72
CCNL1	27.67
PTX3	0.04
DCLK3	0.02
SLMAP	5.655
RPP14	10.955
ABHD6	27.085
DNASE1L3	80.405
SDK2	0.165
C3orf67	0.46
APBB2	4.295
IL17RE	22.095
IL17RC	89.58
CRELD1	21.615
PRRT3	0.35
FANCD2OS	0.115
PCOLCE2	30.485
ADAM7	0.005
MTMR14	10.76
TTC14	4.35
MTHFD2L	2.405
RCHY1	8.115
CCDC158	0.395
CPA3	0.265
HPS3	2.115
TM4SF18	0.765
NUP133	3.24
RYK	8.095
TCF23	0
DNAJC5G	0.055
UCN	0.96
ZNF513	8.145
PLB1	0.29
KIAA1143	2.82
KIF15	0.065
WDR43	6.12
ZDHHC3	11.66
CDCP1	0.095
CLEC3B	33.39
FYCO1	5.39
VPS35	5.875
ELP6	17.56
FBXO40	0.025
DTX3L	5.605
ZNF148	2.74
NMNAT3	2.105
SMIM12	45.36
ITGAL	9.13
TPRA1	18.98
YEATS2	1.67
GRIK3	0.045
ZC3H12A	2.585
DNALI1	7.975
POLR2H	28.305
KLF15	43.535
CFAP100	0.18
BCL3	19.15
CAMK2N2	0.185
LIPH	0.11
TMEM41A	7.175
HEYL	0.415
IFT122	6.915
RHO	0
RFC4	2.99
KCNAB2	4.715
BAP1	20.08
PRKCD	3.465
SFMBT1	2.44
GNL3	20.045
PBRM1	4.165
UVSSA	1.32
FAM208A	5.475
ARHGEF3	0.98
SLBP	12.895
ZDHHC19	3.3
SLC51A	50.39
PIGX	3.295
MELTF	0.665
S100P	0.815
GAL	0
ABLIM2	0.645
EXO5	2.385
CLDN19	0.1
ERMAP	3.655
SGMS2	3.46
METAP1	7.12
EMCN	1.09
SLC9B1	0.35
SLC9B2	21.775
BDH2	43.24
CDC25A	0.08
PLXNB1	38.08
CCDC51	6.445
SPRY1	4.29
BSN	2.87
APEH	87.225
INTU	0.59
RNF123	25.87
HSPA4L	0.86
ABHD18	2.89
MAOB	114.075
CAMKV	0
MON1A	9.49
MST1R	0.185
TEX264	45.82
DUSP7	2.535
POC1A	1.13
PPM1M	4.485
ETNPPL	90.625
RORA	3.89
PITX2	0.04
PRSS12	0.4
NDST3	0.205
SAP30	2.305
SCRG1	0.205
HAND2	5.375
ANXA5	25.38
ADAD1	0.03
GUCY1A3	1.305
FBXO8	9.255
CEP44	1.305
HPGD	39.26
ASB5	0.01
C4orf45	0
TMEM144	0.23
PDK2	37.405
TGFBR3	2.265
FAM198B	0.51
NPY1R	2.085
NPY5R	0.07
NAA15	2.64
IL15	1.05
FAM160A1	0.165
ICE1	1.685
HHIP	1.1
ANAPC10	3.5
ABCE1	9.07
PRMT9	2.18
ITGA2	0.095
SLC45A2	0.43
EDIL3	0.085
ELOVL7	0.245
NDUFAF2	9.305
LMBRD2	1.11
RANBP3L	0.825
NIPBL	5.495
SLC25A46	5.845
PGGT1B	4.925
HES2	1.32
F2RL2	0.39
CCDC112	0.305
C5orf63	2.075
F2RL1	0.29
WDR41	8.245
NEDD4	26.12
SCGB3A2	4.705
HTR4	0.01
ESM1	0.055
ARSK	0.705
RHOBTB3	4.465
PIGB	4.63
SERINC5	13.38
ENPP6	0.195
PRIMPOL	3.64
ERAP1	7.845
CMYA5	0.97
EGFLAM	1.01
CFAP97	2.5
TMEM174	0
CARTPT	0
RICTOR	1.385
PAPD4	6.74
EBF1	0.635
UBLCP1	1.78
FAM170A	0.075
UTP15	1.635
GNB5	4.74
TLR3	1.395
KLKB1	89.15
GFM2	9.225
TERT	0
CCDC127	2.54
ADGRF2	0.035
SEPT8	3.34
GDF9	0.36
LEAP2	201.57
SLC35A1	7.6
GRIK2	0.195
FABP7	0
TLX3	0
TXLNB	0.06
CALHM4	0.07
T	0
CREBRF	1.72
DCBLD1	4.035
SFXN1	49.71
SAMD3	0.835
ITGA3	1.81
TMEM200A	0.055
IL22RA2	0
DACT2	13.225
PDSS2	7.335
STXBP5	0.535
IL31RA	0.06
PI16	0.285
LRP6	9.235
TBX20	0
DAGLB	6.03
KIAA0895	1.015
STK17A	1.94
TRA2A	11.91
GALNT10	2
SAP30L	9.145
HCN1	0
MYOZ3	0.16
COG5	2.115
GUCY2C	0.05
NEUROD6	0
BMT2	0.2
GPR85	1.045
SLU7	10.67
CAMLG	9.17
BMPER	2.41
RELL2	0.96
KCNK5	12.365
KIF6	0.255
SLC29A4	3.125
TEX47	0
CDCA7L	2.245
SP8	0
MIOS	5.275
KIAA1324L	0.125
USP49	0.51
SYTL3	0.39
PHRF1	9.505
IQUB	0.025
HEY1	0.355
ZNF704	0.92
SHH	11.075
FNDC1	0.05
CHMP4C	2.12
SLC13A4	0.565
ELP1	13.435
PGAM2	8.215
BRI3	172.865
LMTK2	2.245
CTSB	402.76
ADCY1	7.8
SUN3	0.015
NUCB2	27.965
C7orf57	0
HNF4G	3.94
RAD21	13.93
MED30	3.65
TNFRSF11B	2.745
SBSPON	0.54
PHKG1	1.03
EN2	0.02
KCNV1	0.225
CSMD3	0.08
SPIDR	5.755
ORC5	4.55
OSGIN2	1.815
SUN1	29.355
OXR1	5.825
PTPN3	21.395
TMEM74	0.275
GPR146	30.67
GPER1	33.175
UNCX	0
NOS3	6.605
MICALL2	5.605
CA3	0.46
SPTB	1.16
SLC4A2	76.675
TMUB1	66.75
GBX1	0
DAPP1	0.225
FZD6	0.59
CTHRC1	0.1
TP53INP1	6.935
INTS8	6.145
VIRMA	14.27
FGF10	0
FREM1	0.415
GEM	0.875
PDP1	0.48
TMEM67	0.755
WASHC5	3.6
FAM219A	2.425
C9orf24	0.845
SNAPC3	5.81
SLC44A1	13.065
PSIP1	6.06
ABCA1	5.685
TMEM260	2.365
FXN	16.405
ZMAT4	0
NKX6-3	0
TMEM71	0.36
MAMDC2	0.12
CPA6	0
C8orf34	0.185
TMC1	0.18
SMG6	5.77
KDM1B	2.135
HGSNAT	10.23
RASEF	1.82
GKAP1	2.295
KIF27	2.415
C9orf64	6.74
SSMEM1	0.05
TRPV6	0.46
EXOC5	4.41
LLCFC1	0.025
ANKS6	2.755
ZHX1	11.65
CFAP47	0
CYBB	1.58
MID1IP1	50.375
CLTCL1	2.145
C9orf84	0.06
CXorf58	0.04
KIAA1958	1.27
PTCHD1	0.015
RNF183	0.025
ASB11	0.085
PCDH19	0.035
PIGA	1.065
VEGFD	0.3
OR1Q1	0
FGF22	0.42
STRBP	4.195
GAPVD1	4.375
WNK2	1.175
ATP7A	0.285
ZNF367	0.38
HDX	0.315
FSTL3	3.54
NOL6	8.42
AQP3	52.245
TRMT10B	2.09
VCP	77.415
PIGO	8.665
STOML2	57.785
BRWD3	0.56
SLITRK5	0.025
ARMC3	0.01
OTUD1	1.71
ARHGAP12	2.695
FAT3	0.07
HECTD2	0.36
FBXO33	2.1
GPR101	0.025
CLDN2	8.255
LAMP2	41.415
LRFN5	0
LRRC18	0.045
WRN	0.805
MARCH8	8.65
TSHR	0.31
GTF2A1	2.98
ZCCHC24	10.535
MNT	2.885
PGM2L1	0.175
PHYHIPL	0.64
SLC16A9	0.185
INPPL1	21.3
PHOX2A	0
GJB2	14.3
CRYL1	114.895
REEP3	4.29
HEPACAM	8.07
MICU2	8.26
DDIAS	0.045
PCF11	9.44
PKNOX2	0.225
LRR1	1.87
C10orf10	8.525
JMJD6	11.545
ZNF22	7.36
KLHDC2	35.305
EML5	0.625
NEMF	8.155
RPUSD4	12.13
ARF6	24.305
TTC8	6.425
TMEM63C	0.105
NGB	0
NOXRED1	0.18
POLB	9.675
CDX2	0
AMER2	0.17
DRGX	0.015
NUDT5	43.825
DACT1	0.675
OXGR1	0
UCMA	0
BEND7	5.805
TAF3	1.235
VSTM4	1.475
VDAC2	38.09
SOHLH1	0
SLC18A2	1.95
PDZD8	9.775
WIPI1	7.785
ZNF503	9.215
QSOX2	2.175
NSD1	2.73
ENOX2	1.52
CLEC1B	18.485
SNAPC4	3.19
TMEM52B	0.565
PMPCA	50.56
FRMPD1	1.705
FRMD7	0.055
AK8	0
SPACA9	0.72
GFI1B	0.06
FAM69B	10.765
ZMYND19	9.925
STOX1	0.06
GBA2	21.115
RET	0.1
BMS1	2.86
STK32C	2.845
JCAD	1.33
METTL17	18.79
SLC39A2	0.035
NDST1	17.13
NDRG2	245.12
ARHGEF40	15.095
ZNF219	7.225
C12orf50	0.87
CASP7	6.155
CCDC186	0.855
ITGA2B	0.635
VWA2	0.1
SALL2	0.535
TRUB1	2.265
ERICH6B	0.185
ZFYVE1	9.535
C10orf82	0.32
HSPA12A	0.315
AP3M2	1.47
ANKRD2	0.105
E2F7	0.01
ARHGAP42	2.3
ISCA2	10.805
OTOGL	0
LARGE2	2.04
PACSIN3	42.605
SLC39A13	6.305
CNGB1	0.065
AGBL2	7.395
TC2N	0.69
CPSF2	6.455
SERPINA12	0.21
CLMN	13.46
ST6GALNAC2	2.235
SLC6A5	0
CCDC38	0.41
NELL1	0.025
PTER	2.655
C1QL3	0.15
CACNB2	1.245
HACD1	0.81
ARL5B	1.44
CHAT	0
KCNC2	0.085
ABTB2	5.49
R3HCC1L	2.065
AMOTL1	2.305
HTRA1	30.12
LIPC	161.73
CEP57	8.105
TCP11L2	1.13
TMCO5A	0.025
GPR176	0.23
JAM3	0.805
IL25	0
CMTM5	0.16
ADAMTS15	0.04
SVOP	0.335
SPATA19	0
TESK2	3.115
GPT2	71.975
AMN	85.46
RAB8B	1.385
IKBIP	1.095
PPP1R14D	0.1
FBN1	1.335
CFAP20	21.445
AVPR1A	0.895
LRTM2	0
TRMT61A	5.975
BTRC	1.78
POLL	8.185
DPCD	3.12
LARP6	4.245
API5	14.225
ASPG	94.6
ALKBH3	8.425
COPS2	9.04
GABRB3	0.135
TBATA	0
SGPL1	11.62
FRS2	2.05
CCT2	23.405
PCBD1	248.69
ARIH1	14.33
C16orf71	0.15
CLMP	0.085
SCN3B	0.12
STPG1	0.66
ASB4	0.715
ZNF202	1.62
FAM227B	1.745
CUL5	4.43
CAMK2A	0.32
PLEKHF1	4.925
TMEM100	0.46
SMPD1	30.125
APBB1	3.075
SYNPO2L	0.285
NUDT13	2.48
C11orf65	0.79
TRIM44	12.105
CCDC182	0
ILK	41.19
TPP1	25.955
DCHS1	0.89
NETO1	0.14
USP54	1.425
RAG1	0.18
C11orf74	5.055
WDR88	0.19
ATP9B	10.945
PPFIBP2	17.185
CYB5R2	2.805
SERPINB7	0
KIAA0355	6.695
SERPINB8	2.01
TUB	0.625
RIC3	1.255
OSBPL3	0.44
WDR72	4.21
CRABP1	0.035
PLD4	0.92
TRIM66	1.705
RNF169	1.425
EPHA8	0.01
CDYL2	1.185
TMEM130	0.31
PRTG	0.06
CENPN	3.58
AKIP1	7.855
C16orf46	0.76
TMEM41B	6.54
LEO1	6.91
SLC12A3	0.015
ZNF143	3.595
TMX3	5.355
WEE1	2.815
PRKCB	0.59
HDGFL3	0.945
MCM7	14.89
CLEC3A	0.095
RAD18	0.49
CCDC68	1.03
CLEC4E	0.27
ZNF3	6.895
ZSCAN21	4.61
TK2	12.42
TMED3	3.19
ATP2B1	3.815
SLC38A8	0.12
CPLX4	0.01
GALR1	0
TMEM135	7.3
IQCD	0.09
NDEL1	15.13
CENPV	24.805
CDH16	0.03
RRAD	1.215
CFAP52	0.125
HSP90B1	271.285
MC4R	0
BLCAP	73.445
SERPINB12	0
ATF7IP2	30.195
TVP23A	0.29
NCK2	6.8
TMPRSS5	0.495
COG1	12.52
PLEKHA7	4.585
B2M	1460.59
ZNF592	6.385
CASC4	11.61
HTR3A	0
NNMT	150.05
AP1G1	13.585
MAP4K4	22.665
SAAL1	2.82
YPEL4	0.245
PPIB	334.89
MGAT4A	2.75
KIF7	0.235
LDHD	96.41
PLIN1	4.135
ANPEP	251.955
SCNN1G	0
RBPMS2	5.66
NAV2	10.2
ANKDD1A	1.37
DCTN5	6.525
TERF2IP	12.97
PLK1	0.64
GPR182	3.925
ZBTB39	1.43
WDR1	44.855
CACNG2	0.545
TAC3	0.035
MYO1A	0.215
OR4D6	0
NAB2	4.01
VPS39	6.745
STAT6	31.15
PATL1	8.015
SNX13	3.085
ATP23	3.355
ELFN2	0.085
STX3	1.425
PIP4K2C	4.575
MTMR10	7.13
SCG5	10.375
GREM1	0.21
TSC22D4	10.04
MS4A14	0.41
MS4A5	0.15
DIS3L	8.11
EPB42	0.365
TGM6	0
SMAD3	6.165
MS4A15	0
MAP1A	0.07
AKTIP	15.415
EVA1C	0.955
RPS6KA2	2.535
CNPY4	3.675
TERB2	0.82
NKX3-1	0.85
SGSM1	0.2
TEF	9.92
ING3	2.505
B4GALNT2	0
PBX3	5.525
GNGT2	1.165
PHB	95.955
SNRPD1	15.58
TTC16	0.175
SUN5	0
SAMD14	0.94
PIP5KL1	0.44
VASH1	1.845
BPIFB6	0
FAM102A	13.445
ACSF2	46.445
COQ4	26.145
SLC27A4	13.025
URM1	25.685
CERCAM	1.59
DOLPP1	16.19
LMCD1	1.225
PRRX2	0
C15orf39	1.895
SP2	2.59
PRR15L	0.555
GPRC5B	1.29
CRK	23.145
FBXO22	22.16
TBC1D2B	10.185
NOD2	0.695
SNX20	0.555
LOXHD1	0.005
KATNAL2	2.82
SEL1L	13.935
RNF214	3.27
DUS2	4.045
ENGASE	11.62
RBFOX3	1.255
TBC1D16	2.29
TEPSIN	7.69
MYO5B	5.16
ACAA2	247.765
STIM1	26.39
RRM1	6.97
OR51E2	0.02
MMP26	0
OR51I1	0
ZNF668	2.455
ZNF646	1.95
GNG8	0
TCF3	9.53
SMG8	2.065
TPM4	19.555
RAB8A	93.485
GPX4	595.275
MIDN	6.895
FAM129C	2.775
KLHL26	2.415
TRIB2	4.485
ANKRD11	33.175
ZNF641	3.055
LALBA	0
CACNB3	1.105
DAZAP1	50.415
DHRS13	1.575
KMT2D	8.87
CORO6	0.255
MBD3	34.32
CYP2S1	0.555
AXL	3.04
NFKBID	1.205
TMC4	1.03
TTYH1	1.245
LENG8	29.145
CRLF1	0.825
TMEM145	0.665
ZNF526	1.855
TRAPPC9	12.8
PPP1R14A	5.66
SPINT2	6.815
HLTF	2.25
ATCAY	0.235
LY6D	0
DAPK3	17.175
EEF2	699.82
CHAF1A	1.945
HDGFL2	19.53
PLIN4	13.905
SEMA6B	2.155
FAM57A	0.695
GLOD4	64.61
MFSD3	32.41
GPT	120.05
KIFC2	4.73
SLC43A2	2.455
RILP	16.755
FAM3A	50.255
SERPINF2	992.085
WDR81	14.115
CYB5D2	23.435
KLK5	0
CPSF1	33.855
KLK11	0.225
ACER1	0.295
OTUB1	26.605
MYO3B	0.105
CABP2	0
NDUFV1	198.38
CDK2AP2	35.8
CYBRD1	2.63
TBX10	0.82
HID1	2.485
MRPL58	21.05
CDH19	0.23
TMEM88	0.87
SRP68	25.035
MGAT5B	0.025
TMC8	4.2
TMEM68	3.53
SLC6A15	0
GHDC	9.73
SOST	0
ZNF598	19.185
RAB26	76.55
MLST8	34.525
E4F1	12.25
DNASE1L2	0.61
CASKIN1	0.1
RDH11	68.585
KCTD5	7.69
SRRM2	110.1
NLRC3	0.545
DDB1	54.865
OSBPL7	0.78
BEST1	0.41
BSCL2	17.125
POLR2G	29.93
SLC3A2	40.125
C11orf84	1.4
ATG16L2	10.08
C2CD3	6.04
TRANK1	2.805
TTC21A	1.19
ADGRL1	1.09
ENTPD3	0.135
CTNNB1	43.32
ULK4	0.625
FADD	10.51
LTBP3	65.195
NAALADL1	1.59
SF1	67.905
SPP2	119.115
CCDC88B	3.73
SCARA3	2.46
SCARA5	1.155
PNOC	0
PAFAH1B2	8.015
ANKS3	5.84
ACTN1	33.49
NUDT16L1	44.7
RAB4A	26.425
KCNJ4	0.34
SETD5	12.48
FAM83B	0.01
ZFYVE26	1.605
DDIT4	28.775
LMBRD1	14.145
ZCCHC4	1.39
TTC39C	75.445
GNG4	0.35
RPS6KA6	0.195
UBTD2	2.425
NKIRAS2	14.24
KCNV2	0.015
IRF2BP2	34.445
PTF1A	0
NT5DC2	3.37
FOXI1	0
SMIM4	24.65
EPN2	4.815
KIF5C	0.13
MGAT2	22.24
THAP11	11.245
PXK	5.04
KCTD6	3.35
ACOX2	153.385
IRF2	11.4
MOBP	0.055
CX3CR1	0.58
PPDPFL	0.01
XIRP1	0.015
LIMS2	38.04
ARF4	42.625
FILIP1L	1.57
MFSD2A	22.93
TAP1	5.42
ING5	4.05
ATG4B	21.245
BDKRB2	0.08
ASIC4	0.06
RFWD3	1.37
MTNR1A	0.03
KCNG4	0
RHOH	0.98
COG7	5.63
CDC40	3.48
SCNN1B	0.085
TMEM98	7.72
SPEG	0.995
HR	0.36
RAB31	3.025
REEP4	5.395
TNXB	0.135
LGI3	0.745
SFTPC	0.055
BMP1	18.84
LNX1	1.36
POLR3D	2.595
FEN1	3.675
CAVIN2	4.2
MTCL1	0.995
GBX2	0
HFE2	109.79
ALDH3A2	61.17
MYL1	0.08
TRAPPC11	4.905
CHRM1	0
COL3A1	14.705
ING2	4.085
CDKN2AIP	4.535
SNRNP48	1.71
SLC20A2	33.07
DYNLRB2	0.365
TMUB2	15.87
STAT3	24.645
ZSWIM1	3.905
ADAM18	0
GDNF	0.085
SREBF1	239.865
AXIN2	1.215
VWA3B	0.17
FAM84B	4.815
LDLRAD4	14.395
KCTD19	0.825
SLC16A4	2.545
IL7R	1.93
TMEM208	58.325
AHCYL1	20.855
PKIG	26.195
NPNT	0.56
CA7	0.07
FAM178B	0.605
SEMA4C	6.875
CNNM3	20.85
TET2	0.615
CXXC4	1.1
AFF4	6.485
TCTN2	0.59
SHOX2	0.155
PPIP5K1	2.23
TSPAN5	0.77
ABHD15	10.17
ZBTB5	3.45
SNTB2	0.97
IL12A	0
ZNF507	1.735
NSG1	2.035
ZBTB49	1.175
GFM1	13.695
ATOH8	31.165
SOX14	0
MPP5	4.195
SFTPB	0.495
USP39	14.695
TNIP2	12.28
TMEM150A	17.45
RHOBTB1	1.29
ZNF608	0.765
SLC35G2	0.52
INPP5D	2.98
LETM1	14.485
TMEM129	30.68
PPIC	10.55
SPRY3	0.09
CEP120	1.98
STXBP6	4.3
TM4SF20	0.09
CPLX1	4.62
PXDC1	63.5
E2F6	3.355
FEM1B	5.455
COMMD8	1.79
MFSD7	4.915
MAP2K1	27.04
KLK7	0.035
IRS1	9.555
MECP2	5.785
AR	9.05
MARK2	3.82
DHRSX	21.78
C8orf46	2.49
HSPBAP1	1.87
PARM1	0.16
FAM110B	2.495
AFAP1L2	0.735
HMMR	0.295
GOT1L1	0
ZBTB43	1.915
CPT1C	1.55
XPO6	32.22
GSG1L	0.08
APEX2	3.205
CHFR	5.835
NSMCE1	37.285
CCDC126	3.135
RAB3B	0.06
CD2BP2	12.19
RSPO1	0.355
RGS14	22.16
TBC1D10B	8.095
TRHDE	0.39
RAB24	16.83
THBS3	4.945
CA5B	0.44
SLC50A1	26.765
EFNA1	84.575
CXCL10	1.395
SH3TC2	0.19
P4HA2	9.455
NMD3	13.6
ADRB2	1.965
B3GALNT1	0.19
GPRIN1	0.05
KCNAB1	0.445
SHE	2.37
NFATC3	4.71
NR0B1	0.015
STK32A	0.04
IL1RAPL1	0.085
P2RY12	0.065
PDILT	0.09
UMOD	0.12
GP2	0.065
SLC33A1	9.695
SNUPN	8.155
CRADD	14.05
SIN3A	4.18
ARL13B	1.165
PTK2	15.735
PTAFR	0.895
ACADVL	413.425
PTPN9	4.315
KCNK9	0
CXCL8	0.225
SCN9A	0.69
RASSF6	0.33
COL22A1	0.045
SDC2	253.53
MAP3K14	3.47
STK10	4.49
OR4K14	0
TM2D2	17.885
HTRA4	0.57
PLEKHA2	2.46
GPR183	0.885
FBXW11	8.11
METTL15	1.625
ZEB2	2.76
GJB1	302.405
CLIC3	1
BNC1	0.02
DFFB	2.15
ACAP1	9.525
ANTXR1	0.83
GKN1	0
APLF	0.355
LUZP1	1.055
HEXDC	20.47
CRMP1	0.77
DRD5	0.07
SPNS1	14.705
LRRC45	14.125
CHRNA5	0.16
AGPAT2	174.33
GP9	0.045
FASN	1544.05
EVC	1.615
CNBP	162.07
GPS1	69.875
LDB2	5.605
NRG4	2.255
DERL2	28.595
TMEM266	0.65
NLGN1	0
TAPT1	13.165
TAS2R1	0
LINGO1	0.525
BTD	36.065
CSGALNACT2	1.89
TACR3	0
GSX1	0
SIDT1	0.67
PCDH7	0.315
ONECUT1	5.87
AVEN	6.15
P2RY1	0.12
CTNND2	0.415
MUC17	0
AHSP	0.11
NDE1	2.275
TPST1	8.645
TM4SF4	210.5
S100G	0
MRVI1	0.27
OTUD7A	0.525
KLF13	19.87
FRMPD4	0
ZFPM2	0.855
TAS1R3	0.64
TMEM42	14.29
MAP3K2	7.075
TMEM38A	4.855
SF3B5	70.245
TIGD4	0.015
NLGN2	1.585
CHD3	5.54
AP1M1	41.735
ALCAM	7.98
UBE2E3	17.695
CNTROB	6.86
TRAPPC1	56.2
ZPLD1	0.015
KCNAB3	0.495
GPR37L1	0.09
TMEM192	15.015
NSG2	0.045
SERPINA6	248.84
NIPA1	2.015
UBE2E1	17.14
SIK2	8.625
RNF150	0.14
VGLL2	0
HOXD4	0
XRCC1	5.42
CHRNB1	7.875
USP38	3.06
SLC16A5	1.885
ANKK1	0.035
ADRA1B	5.68
ADPRM	4.295
FABP6	0.115
SCARB1	162.905
PWWP2A	2.27
USP50	0.16
USP47	12.06
PDCD6IP	26.31
ZNF212	4.07
FAM161A	0.28
ZNF282	5.87
CYP2W1	0.03
FAXDC2	39.215
CRTAP	23.155
CNGB3	0.01
CMTM8	31.555
MCM2	1.42
STX8	21.345
NFRKB	3.995
PRDM10	0.825
FOS	11.175
SETMAR	6.325
MOV10L1	0.98
EMX2	0.045
SEMA3E	0.025
LRRN2	0.505
SLC30A1	13.54
DCLK2	0.1
GPRC5C	124.54
TMEM182	5.955
PANX2	7.125
VSTM2A	0
KRT78	0
ADORA2B	0.415
METTL7B	66.395
NFXL1	1.6
SELENOO	67.03
DENND5B	1.69
CD14	167.635
DNAJC18	0.55
RIOX1	1.36
RALGAPB	2.37
SLC23A1	16.105
TP63	0.165
NPAS2	35.97
KISS1	1.355
LONRF2	0.055
PFKFB3	5.515
TMC7	0.365
CACNG3	0.01
ALPK1	1.405
CDH2	10.86
IRX2	0
SIX2	0.015
DLGAP1	0.385
NUDCD2	17.96
LLGL2	38.475
IRF2BP1	15.25
HSPA4	14.07
FOXA3	20.055
SLC26A5	0.065
SGCD	0.145
RNF34	10.09
PDE8A	11.875
TRABD	26.405
