GENE_NAME	human.mean
FABP1	1.03
ICA1L	2.32
CTLA4	2.32
ICOS	1.47
RYBP	35.41
GTPBP8	5.63
NEPRO	18.54
TRPC7	0
SPICE1	5.26
CCDC191	3.9
CADPS	1.2
NKX6-1	0.17
CDS1	16
WDFY3	9.29
COX18	5.52
SYNPR	0.06
ALB	1.87
C3orf49	0.1
ATXN7	9.38
PSMD6	47.89
PRICKLE2	13.7
ADAMTS9	76.33
PPM1K	11.78
ERICH6	0
CLRN1	0
GMPS	44.87
ADGRF5	158.43
TIPARP	25.92
CCNL1	124.09
PTX3	38.01
DCLK3	0.01
SLMAP	38.63
RPP14	9.34
ABHD6	4.6
DNASE1L3	17.07
SDK2	1.39
C3orf67	1.93
APBB2	24.48
IL17RE	4.03
IL17RC	8.56
CRELD1	22.28
PRRT3	0.98
FANCD2OS	0
PCOLCE2	36.94
ADAM7	0
MTMR14	11.99
TTC14	6.93
MTHFD2L	6.5
RCHY1	24.14
CCDC158	0.81
CPA3	100.7
HPS3	9.14
TM4SF18	6.65
NUP133	13.48
RYK	35.47
TCF23	0
DNAJC5G	0
UCN	0.65
ZNF513	7.97
PLB1	1.09
KIAA1143	13.46
KIF15	0.68
WDR43	12.19
ZDHHC3	34.87
CDCP1	6.73
CLEC3B	119.17
FYCO1	20.49
VPS35	40.46
ELP6	5.67
FBXO40	0
DTX3L	22.3
ZNF148	8.23
NMNAT3	2.86
SMIM12	33.64
ITGAL	28.54
TPRA1	17.78
YEATS2	8.48
GRIK3	0.05
ZC3H12A	36.62
DNALI1	24.51
POLR2H	43.68
KLF15	4.45
CFAP100	6.89
BCL3	139.2
CAMK2N2	0.24
LIPH	7.47
TMEM41A	9.19
HEYL	10.95
IFT122	11.35
RHO	0
RFC4	4.62
KCNAB2	11.13
BAP1	23.76
PRKCD	24.22
SFMBT1	3.02
GNL3	55.77
PBRM1	11.3
UVSSA	1.89
FAM208A	22.81
ARHGEF3	27.08
SLBP	32.93
ZDHHC19	1.37
SLC51A	6.71
PIGX	10.98
MELTF	1
S100P	107.71
GAL	0.39
ABLIM2	2.35
EXO5	0.95
CLDN19	0.04
ERMAP	4.5
SGMS2	21.14
METAP1	22.21
EMCN	77.9
SLC9B1	1.22
SLC9B2	5.94
BDH2	40.91
CDC25A	0.17
PLXNB1	25.32
CCDC51	3.65
SPRY1	149.19
BSN	0.02
APEH	23.19
INTU	2.59
RNF123	10.02
HSPA4L	3.86
ABHD18	3.65
MAOB	58.55
CAMKV	0.04
MON1A	2.7
MST1R	2.36
TEX264	19
DUSP7	31.11
POC1A	1.2
PPM1M	20.85
ETNPPL	0.14
RORA	12.97
PITX2	0
PRSS12	13.5
NDST3	0.15
SAP30	6.43
SCRG1	1.49
HAND2	0.33
ANXA5	492.17
ADAD1	0
GUCY1A3	13.2
FBXO8	19.86
CEP44	4.35
HPGD	85.77
ASB5	0.74
C4orf45	0
TMEM144	3.45
PDK2	8.46
TGFBR3	93.47
FAM198B	13.55
NPY1R	1.96
NPY5R	0.09
NAA15	15.72
IL15	6.7
FAM160A1	1.31
ICE1	5.39
HHIP	16.89
ANAPC10	11.78
ABCE1	28.21
PRMT9	6.23
ITGA2	11.58
SLC45A2	0
EDIL3	78.78
ELOVL7	8.04
NDUFAF2	39.72
LMBRD2	2.37
RANBP3L	1.38
NIPBL	23.8
SLC25A46	11.84
PGGT1B	4.05
HES2	1.34
F2RL2	1.04
CCDC112	2.65
C5orf63	1.13
F2RL1	8.11
WDR41	20.84
NEDD4	9.39
SCGB3A2	632.34
HTR4	0.42
ESM1	12.46
ARSK	5.08
RHOBTB3	26.37
PIGB	3.51
SERINC5	6.74
ENPP6	0.65
PRIMPOL	5.53
ERAP1	35.94
CMYA5	0.85
EGFLAM	7.77
CFAP97	20.31
TMEM174	0
CARTPT	0.07
RICTOR	13.44
PAPD4	19.75
EBF1	8.77
UBLCP1	14.58
FAM170A	0.18
UTP15	3.51
GNB5	9.17
TLR3	6.46
KLKB1	0.13
GFM2	8.41
TERT	0
CCDC127	1.53
ADGRF2	0.12
SEPT8	21.4
GDF9	0
LEAP2	0.46
SLC35A1	29.78
GRIK2	0.37
FABP7	0
TLX3	0
TXLNB	1.4
CALHM4	0
T	0
CREBRF	14.14
DCBLD1	14.49
SFXN1	8.17
SAMD3	5.54
ITGA3	69.15
TMEM200A	12.67
IL22RA2	0
DACT2	0.27
PDSS2	5.22
STXBP5	3.99
IL31RA	0.17
PI16	19.47
LRP6	13.86
TBX20	0
DAGLB	8.32
KIAA0895	4.34
STK17A	39.78
TRA2A	49.37
GALNT10	12.7
SAP30L	23.79
HCN1	0
MYOZ3	0.47
COG5	14.19
GUCY2C	0
NEUROD6	0
BMT2	5.82
GPR85	1.33
SLU7	34.74
CAMLG	63.03
BMPER	6.43
RELL2	2.41
KCNK5	5.25
KIF6	2.57
SLC29A4	1.04
TEX47	0
CDCA7L	7.17
SP8	0.02
MIOS	8.62
KIAA1324L	17.23
USP49	1.5
SYTL3	29.48
PHRF1	5.44
IQUB	2.95
HEY1	17.57
ZNF704	6.46
SHH	0.95
FNDC1	1.42
CHMP4C	3.42
SLC13A4	0.51
ELP1	11.27
PGAM2	0.27
BRI3	229.83
LMTK2	5.99
CTSB	680.9
ADCY1	0.34
SUN3	0
NUCB2	156.7
C7orf57	5.11
HNF4G	0.54
RAD21	108.2
MED30	18.2
TNFRSF11B	18.73
SBSPON	7.88
PHKG1	1.67
EN2	0.02
KCNV1	0.03
CSMD3	0.82
SPIDR	22.89
ORC5	5.52
OSGIN2	23.63
SUN1	70.96
OXR1	27.78
PTPN3	6.98
TMEM74	0
GPR146	8.56
GPER1	1.01
UNCX	0
NOS3	11.97
MICALL2	12.86
CA3	30.27
SPTB	2.74
SLC4A2	25.6
TMUB1	17.55
GBX1	0
DAPP1	9.31
FZD6	19.04
CTHRC1	7.59
TP53INP1	30.94
INTS8	15.69
VIRMA	11.38
FGF10	7.06
FREM1	4.6
GEM	48.09
PDP1	8.69
TMEM67	6.79
WASHC5	8.22
FAM219A	15.05
C9orf24	74.4
SNAPC3	15.52
SLC44A1	31
PSIP1	42.09
ABCA1	13.2
TMEM260	6.32
FXN	6.32
ZMAT4	0
NKX6-3	0
TMEM71	8.21
MAMDC2	47.18
CPA6	0.63
C8orf34	4.71
TMC1	0
SMG6	18.1
KDM1B	7.96
HGSNAT	23.16
RASEF	2.5
GKAP1	7.84
KIF27	9.85
C9orf64	4.76
SSMEM1	0
TRPV6	0.37
EXOC5	36.57
LLCFC1	0
ANKS6	6.47
ZHX1	17.33
CFAP47	1.84
CYBB	18.33
MID1IP1	54.06
CLTCL1	2.1
C9orf84	0.46
CXorf58	0.14
KIAA1958	2.37
PTCHD1	0.33
RNF183	0.52
ASB11	0
PCDH19	0.1
PIGA	19.86
VEGFD	75.41
OR1Q1	0
FGF22	0.21
STRBP	9.01
GAPVD1	20.31
WNK2	2.91
ATP7A	6
ZNF367	1.94
HDX	3.42
FSTL3	67.66
NOL6	9.69
AQP3	221.73
TRMT10B	3.84
VCP	144.5
PIGO	6.06
STOML2	41.11
BRWD3	5.92
SLITRK5	0.33
ARMC3	11.6
OTUD1	19.77
ARHGAP12	23.17
FAT3	2.48
HECTD2	5.7
FBXO33	9.03
GPR101	0
CLDN2	0.2
LAMP2	123.59
LRFN5	1.25
LRRC18	4.47
WRN	2.79
MARCH8	13.27
TSHR	0
GTF2A1	12.77
ZCCHC24	28.57
MNT	8.38
PGM2L1	6.48
PHYHIPL	0.45
SLC16A9	0.51
INPPL1	36.24
PHOX2A	0
GJB2	2.75
CRYL1	27.55
REEP3	61.1
HEPACAM	0
MICU2	23.04
DDIAS	0.3
PCF11	8.71
PKNOX2	7.05
LRR1	8.36
C10orf10	519.99
JMJD6	49.64
ZNF22	20.82
KLHDC2	28.78
EML5	2.02
NEMF	24.22
RPUSD4	9.27
ARF6	79.01
TTC8	5
TMEM63C	0.22
NGB	0
NOXRED1	0.36
POLB	30.7
CDX2	0
AMER2	0.18
DRGX	0.07
NUDT5	22.97
DACT1	26.16
OXGR1	0.65
UCMA	0.23
BEND7	17.81
TAF3	5.62
VSTM4	10.41
VDAC2	153.55
SOHLH1	0
SLC18A2	11.36
PDZD8	12.55
WIPI1	34.94
ZNF503	9.11
QSOX2	4.55
NSD1	7.21
ENOX2	2.68
CLEC1B	0.8
SNAPC4	0.98
TMEM52B	0.07
PMPCA	16.56
FRMPD1	0.36
FRMD7	0
AK8	6.36
SPACA9	11.43
GFI1B	1.56
FAM69B	7.27
ZMYND19	4.85
STOX1	3.26
GBA2	46.31
RET	0.43
BMS1	7.25
STK32C	8.33
JCAD	24.34
METTL17	20.49
SLC39A2	0.05
NDST1	26.79
NDRG2	107.47
ARHGEF40	16.89
ZNF219	13.32
C12orf50	0.04
CASP7	50.85
CCDC186	13.26
ITGA2B	4.83
VWA2	0.5
SALL2	2.98
TRUB1	4.28
ERICH6B	0
ZFYVE1	7.86
C10orf82	0.24
HSPA12A	3.6
AP3M2	13.18
ANKRD2	0
E2F7	1.2
ARHGAP42	9.63
ISCA2	19.79
OTOGL	0.56
LARGE2	1.22
PACSIN3	14.72
SLC39A13	19.66
CNGB1	0
AGBL2	4.77
TC2N	34.62
CPSF2	25.91
SERPINA12	0
CLMN	11.41
ST6GALNAC2	16.58
SLC6A5	0
CCDC38	0
NELL1	0.12
PTER	4.81
C1QL3	0.59
CACNB2	3.15
HACD1	12.94
ARL5B	22.48
CHAT	0
KCNC2	0
ABTB2	1.91
R3HCC1L	6.72
AMOTL1	36.03
HTRA1	65.08
LIPC	0.39
CEP57	23.07
TCP11L2	13.98
TMCO5A	0.27
GPR176	10.64
JAM3	72.95
IL25	0
CMTM5	2.02
ADAMTS15	2.41
SVOP	0.01
SPATA19	0
TESK2	6.19
GPT2	2.17
AMN	2.06
RAB8B	59.9
IKBIP	22.31
PPP1R14D	0.13
FBN1	35.5
CFAP20	24
AVPR1A	0.69
LRTM2	0
TRMT61A	2.65
BTRC	2.75
POLL	8.97
DPCD	17.72
LARP6	25.53
API5	38.24
ASPG	2.38
ALKBH3	9.98
COPS2	80.84
GABRB3	1.36
TBATA	0
SGPL1	10.54
FRS2	8.08
CCT2	82.69
PCBD1	52.81
ARIH1	32.97
C16orf71	3.15
CLMP	4.31
SCN3B	0.53
STPG1	6.7
ASB4	0.36
ZNF202	2.56
FAM227B	6.95
CUL5	8.94
CAMK2A	0.32
PLEKHF1	5.34
TMEM100	69.27
SMPD1	24.39
APBB1	38.75
SYNPO2L	1.24
NUDT13	0.24
C11orf65	0.14
TRIM44	17.4
CCDC182	0
ILK	144.82
TPP1	130.34
DCHS1	11.76
NETO1	0
USP54	17.79
RAG1	0.15
C11orf74	20.04
WDR88	0
ATP9B	8.32
PPFIBP2	8.66
CYB5R2	5.83
SERPINB7	3.7
KIAA0355	23.43
SERPINB8	6.82
TUB	4.3
RIC3	1.83
OSBPL3	10.43
WDR72	0.22
CRABP1	0.06
PLD4	0.36
TRIM66	0.51
RNF169	13.88
EPHA8	0
CDYL2	1.93
TMEM130	3.31
PRTG	1.7
CENPN	4.51
AKIP1	8.8
C16orf46	2.82
TMEM41B	28.55
LEO1	3.22
SLC12A3	0.03
ZNF143	28.9
TMX3	31.33
WEE1	19.35
PRKCB	12.67
HDGFL3	47.54
MCM7	20.91
CLEC3A	1.23
RAD18	1.19
CCDC68	15.25
CLEC4E	12.68
ZNF3	8.22
ZSCAN21	4.03
TK2	9.44
TMED3	31.1
ATP2B1	16.15
SLC38A8	0
CPLX4	0
GALR1	0
TMEM135	9.11
IQCD	5.98
NDEL1	55.35
CENPV	15.56
CDH16	0
RRAD	39.33
CFAP52	11.59
HSP90B1	439.64
MC4R	0
BLCAP	36.86
SERPINB12	0
ATF7IP2	3.99
TVP23A	2.56
NCK2	40.95
TMPRSS5	0.09
COG1	15.87
PLEKHA7	5.73
B2M	20376.63
ZNF592	7.1
CASC4	74.04
HTR3A	0.46
NNMT	496.33
AP1G1	26.31
MAP4K4	43.95
SAAL1	5.55
YPEL4	2.95
PPIB	331.44
MGAT4A	26.09
KIF7	0.57
LDHD	2.01
PLIN1	2.45
ANPEP	17.81
SCNN1G	9.79
RBPMS2	7.78
NAV2	8.19
ANKDD1A	10.62
DCTN5	14.63
TERF2IP	92.35
PLK1	2.3
GPR182	0.92
ZBTB39	1.32
WDR1	185.69
CACNG2	0
TAC3	0
MYO1A	0
OR4D6	0
NAB2	26.45
VPS39	14.12
STAT6	96.01
PATL1	28.17
SNX13	11.67
ATP23	3.24
ELFN2	0.22
STX3	34.71
PIP4K2C	14.8
MTMR10	12.63
SCG5	1.25
GREM1	3.4
TSC22D4	27.74
MS4A14	4.11
MS4A5	0
DIS3L	4.55
EPB42	5.29
TGM6	0
SMAD3	34.41
MS4A15	27.79
MAP1A	3.65
AKTIP	22.02
EVA1C	53.06
RPS6KA2	33.96
CNPY4	4.88
TERB2	0.1
NKX3-1	6.51
SGSM1	1.03
TEF	7.18
ING3	5.7
B4GALNT2	0.04
PBX3	19.73
GNGT2	4.89
PHB	39.78
SNRPD1	14.45
TTC16	1.89
SUN5	0
SAMD14	11.99
PIP5KL1	1.28
VASH1	3.67
BPIFB6	0
FAM102A	10.24
ACSF2	28.23
COQ4	22.11
SLC27A4	4
URM1	23.7
CERCAM	9.08
DOLPP1	2.59
LMCD1	155.56
PRRX2	7.08
C15orf39	11.74
SP2	11.31
PRR15L	13.67
GPRC5B	11.83
CRK	50.7
FBXO22	12.75
TBC1D2B	22.45
NOD2	5.8
SNX20	4.69
LOXHD1	0.6
KATNAL2	2.47
SEL1L	32.15
RNF214	5.22
DUS2	4.14
ENGASE	9.18
RBFOX3	0.48
TBC1D16	4.31
TEPSIN	3.77
MYO5B	11.29
ACAA2	32.27
STIM1	25.3
RRM1	17.31
OR51E2	0.06
MMP26	0
OR51I1	0
ZNF668	1.34
ZNF646	1.8
GNG8	0
TCF3	17.62
SMG8	2.31
TPM4	1021.96
RAB8A	27.29
GPX4	302.51
MIDN	66.2
FAM129C	0.68
KLHL26	2.49
TRIB2	53.5
ANKRD11	28.31
ZNF641	5.21
LALBA	0
CACNB3	13.68
DAZAP1	48.05
DHRS13	3.25
KMT2D	14.41
CORO6	2.36
MBD3	13.97
CYP2S1	6.97
AXL	46.29
NFKBID	10.79
TMC4	27
TTYH1	0.72
LENG8	46.33
CRLF1	7.69
TMEM145	0.02
ZNF526	2.54
TRAPPC9	10.07
PPP1R14A	87.25
SPINT2	197.18
HLTF	3.53
ATCAY	0.09
LY6D	0.47
DAPK3	54.56
EEF2	1008.04
CHAF1A	1.39
HDGFL2	10.25
PLIN4	0.66
SEMA6B	5.96
FAM57A	5.42
GLOD4	24.04
MFSD3	2.17
GPT	0.1
KIFC2	6.36
SLC43A2	14.75
RILP	8.39
FAM3A	21.85
SERPINF2	2.14
WDR81	4.07
CYB5D2	8.08
KLK5	0
CPSF1	16.24
KLK11	34.28
ACER1	0.21
OTUB1	37.42
MYO3B	0.03
CABP2	0
NDUFV1	48.76
CDK2AP2	41.69
CYBRD1	250.98
TBX10	0
HID1	22.13
MRPL58	7.66
CDH19	3.71
TMEM88	7.76
SRP68	51.79
MGAT5B	0.18
TMC8	8.88
TMEM68	10.59
SLC6A15	0.77
GHDC	11.17
SOST	0.32
ZNF598	12.25
RAB26	0.02
MLST8	6.5
E4F1	4.72
DNASE1L2	0.08
CASKIN1	0.01
RDH11	48.94
KCTD5	8.22
SRRM2	221.62
NLRC3	1.24
DDB1	61.91
OSBPL7	1.97
BEST1	3.61
BSCL2	51.22
POLR2G	44.8
SLC3A2	106.23
C11orf84	16.22
ATG16L2	19.18
C2CD3	9.01
TRANK1	5.6
TTC21A	7.51
ADGRL1	4.95
ENTPD3	0.94
CTNNB1	177.21
ULK4	4.92
FADD	7.73
LTBP3	54.77
NAALADL1	13.23
SF1	105.75
SPP2	0
CCDC88B	7.83
SCARA3	17.24
SCARA5	27.22
PNOC	0.31
PAFAH1B2	46.1
ANKS3	4.73
ACTN1	143.92
NUDT16L1	6.8
RAB4A	26.32
KCNJ4	0
SETD5	48.96
FAM83B	0.46
ZFYVE26	2.44
DDIT4	157.76
LMBRD1	85.75
ZCCHC4	2.55
TTC39C	16.08
GNG4	0.24
RPS6KA6	1.16
UBTD2	20.04
NKIRAS2	13.2
KCNV2	0.07
IRF2BP2	63.26
PTF1A	0
NT5DC2	15.39
FOXI1	0.05
SMIM4	12.25
EPN2	17.66
KIF5C	0.87
MGAT2	6.13
THAP11	12.82
PXK	30.04
KCTD6	9.85
ACOX2	5.58
IRF2	75.65
MOBP	0.74
CX3CR1	2.72
PPDPFL	0
XIRP1	1.7
LIMS2	27.41
ARF4	240.38
FILIP1L	34.57
MFSD2A	17.18
TAP1	130.46
ING5	6.65
ATG4B	17.28
BDKRB2	5.61
ASIC4	0.07
RFWD3	4.81
MTNR1A	0
KCNG4	0
RHOH	12.18
COG7	11.77
CDC40	4.49
SCNN1B	25.81
TMEM98	34.27
SPEG	7.59
HR	0.93
RAB31	76.86
REEP4	10.26
TNXB	7.8
LGI3	0.69
SFTPC	4669.13
BMP1	4.58
LNX1	3.13
POLR3D	16.13
FEN1	2.79
CAVIN2	118.36
MTCL1	0.78
GBX2	0
HFE2	0
ALDH3A2	85.01
MYL1	0
TRAPPC11	8.15
CHRM1	0.31
COL3A1	80.48
ING2	7.34
CDKN2AIP	17.12
SNRNP48	5.95
SLC20A2	35.28
DYNLRB2	24.3
TMUB2	20.96
STAT3	206.77
ZSWIM1	3.38
ADAM18	0
GDNF	0.17
SREBF1	17.46
AXIN2	7.35
VWA3B	16.48
FAM84B	21.49
LDLRAD4	6.63
KCTD19	0.31
SLC16A4	17.93
IL7R	105.58
TMEM208	24.44
AHCYL1	79.32
PKIG	552.61
NPNT	163.07
CA7	0
FAM178B	1.72
SEMA4C	25.76
CNNM3	9.58
TET2	7.5
CXXC4	0.83
AFF4	29.25
TCTN2	7.04
SHOX2	0
PPIP5K1	2.94
TSPAN5	5.6
ABHD15	3.1
ZBTB5	10.38
SNTB2	12.32
IL12A	2.48
ZNF507	5.02
NSG1	1.52
ZBTB49	1.05
GFM1	24.87
ATOH8	14.17
SOX14	0
MPP5	14.31
SFTPB	1036.39
USP39	31.6
TNIP2	28.69
TMEM150A	12.16
RHOBTB1	10.32
ZNF608	13.81
SLC35G2	11.81
INPP5D	29.3
LETM1	7.38
TMEM129	14.39
PPIC	31.37
SPRY3	0.34
CEP120	7.55
STXBP6	61.36
TM4SF20	0.13
CPLX1	3.42
PXDC1	58.82
E2F6	6.09
FEM1B	21.4
COMMD8	10.57
MFSD7	5.02
MAP2K1	61.1
KLK7	0.98
IRS1	6.32
MECP2	31.76
AR	2.08
MARK2	12.32
DHRSX	10.44
C8orf46	0.61
HSPBAP1	4.65
PARM1	21.18
FAM110B	9.18
AFAP1L2	5.46
HMMR	1.68
GOT1L1	0
ZBTB43	6.37
CPT1C	0.83
XPO6	40.91
GSG1L	0.05
APEX2	5.91
CHFR	8.86
NSMCE1	50.46
CCDC126	9.32
RAB3B	0.09
CD2BP2	24.06
RSPO1	2.61
RGS14	9.85
TBC1D10B	18.75
TRHDE	3.5
RAB24	27.64
THBS3	12.35
CA5B	7.25
SLC50A1	56.35
EFNA1	153.76
CXCL10	100.24
SH3TC2	0.37
P4HA2	42.84
NMD3	40.26
ADRB2	9.03
B3GALNT1	9.67
GPRIN1	0.67
KCNAB1	4.24
SHE	7.45
NFATC3	15.8
NR0B1	0
STK32A	0.51
IL1RAPL1	0.07
P2RY12	1.19
PDILT	0
UMOD	0.03
GP2	1.38
SLC33A1	10.82
SNUPN	12.86
CRADD	13.07
SIN3A	28.14
ARL13B	21.71
PTK2	68.3
PTAFR	4.01
ACADVL	266.58
PTPN9	16.27
KCNK9	0
CXCL8	680.21
SCN9A	0.56
RASSF6	1.57
COL22A1	0.14
SDC2	96.74
MAP3K14	12.55
STK10	23.33
OR4K14	0
TM2D2	32.16
HTRA4	0.53
PLEKHA2	31.53
GPR183	34.13
FBXW11	43.93
METTL15	3.73
ZEB2	51.44
GJB1	0.61
CLIC3	20.52
BNC1	0.21
DFFB	1
ACAP1	18
ANTXR1	76.78
GKN1	0
APLF	0.96
LUZP1	22.54
HEXDC	6.38
CRMP1	11.89
DRD5	0
SPNS1	11.34
LRRC45	2.74
CHRNA5	1.48
AGPAT2	22.24
GP9	3.26
FASN	20.48
EVC	5.24
CNBP	691.49
GPS1	28.99
LDB2	176.61
NRG4	2.85
DERL2	38.26
TMEM266	0.71
NLGN1	0.63
TAPT1	14.51
TAS2R1	0
LINGO1	0.3
BTD	11.8
CSGALNACT2	46.96
TACR3	0.03
GSX1	0
SIDT1	3.71
PCDH7	5.18
ONECUT1	0.3
AVEN	5.34
P2RY1	2.6
CTNND2	1.24
MUC17	0
AHSP	59.24
NDE1	19.93
TPST1	16.57
TM4SF4	0.38
S100G	0
MRVI1	14.29
OTUD7A	0.32
KLF13	24.37
FRMPD4	0
ZFPM2	7.47
TAS1R3	0.1
TMEM42	9.32
MAP3K2	14.14
TMEM38A	2.47
SF3B5	74.49
TIGD4	0.35
NLGN2	12.7
CHD3	44.08
AP1M1	17.1
ALCAM	83.57
UBE2E3	45.17
CNTROB	20.25
TRAPPC1	64.42
ZPLD1	0.07
KCNAB3	0.5
GPR37L1	0.09
TMEM192	6.55
NSG2	0.46
SERPINA6	0.57
NIPA1	6.94
UBE2E1	106.28
SIK2	19.69
RNF150	2.06
VGLL2	0
HOXD4	0.06
XRCC1	14.05
CHRNB1	2.87
USP38	11.71
SLC16A5	19.58
ANKK1	0.33
ADRA1B	0.82
ADPRM	15.44
FABP6	25.29
SCARB1	9.93
PWWP2A	4.66
USP50	0
USP47	37.57
PDCD6IP	49.77
ZNF212	2.23
FAM161A	2.5
ZNF282	3.75
CYP2W1	0.21
FAXDC2	36.53
CRTAP	169.1
CNGB3	0
CMTM8	23.72
MCM2	1.46
STX8	45.2
NFRKB	6.02
PRDM10	3.28
FOS	121.09
SETMAR	6.98
MOV10L1	0.18
EMX2	0.1
SEMA3E	1.97
LRRN2	0.51
SLC30A1	18.96
DCLK2	4.27
GPRC5C	13.49
TMEM182	1.17
PANX2	0.85
VSTM2A	0
KRT78	0
ADORA2B	5.15
METTL7B	0.41
NFXL1	4.43
SELENOO	10.99
DENND5B	8.66
CD14	85.42
DNAJC18	14.18
RIOX1	0
RALGAPB	13.22
SLC23A1	3.29
TP63	2.02
NPAS2	3.46
KISS1	0
LONRF2	1.29
PFKFB3	75.43
TMC7	1.82
CACNG3	0
ALPK1	13.76
CDH2	1.08
IRX2	9.11
SIX2	1.37
DLGAP1	1.47
NUDCD2	7.14
LLGL2	23.36
IRF2BP1	4.14
HSPA4	51.54
FOXA3	0.57
SLC26A5	0.31
SGCD	5.45
RNF34	11.85
PDE8A	16.95
TRABD	17.79
CAVIN4	0.14
ZNF296	0.92
HOXB9	0.02
TTLL6	1.22
POLH	2.84
SYT9	0.14
CLCN4	2.25
KCNS3	26.27
