ensembl	gene_name
ENSG00000164542	KIAA0895
ENSG00000164543	STK17A
ENSG00000164548	TRA2A
ENSG00000164574	GALNT10
ENSG00000164576	SAP30L
ENSG00000164588	HCN1
ENSG00000164591	MYOZ3
ENSG00000164597	COG5
ENSG00000070019	GUCY2C
ENSG00000164600	NEUROD6
ENSG00000164603	BMT2
ENSG00000164604	GPR85
ENSG00000164609	SLU7
ENSG00000164615	CAMLG
ENSG00000164619	BMPER
ENSG00000164620	RELL2
ENSG00000164626	KCNK5
ENSG00000164627	KIF6
ENSG00000164638	SLC29A4
ENSG00000164645	TEX47
ENSG00000164649	CDCA7L
ENSG00000164651	SP8
ENSG00000164654	MIOS
ENSG00000164659	KIAA1324L
ENSG00000164663	USP49
ENSG00000164674	SYTL3
ENSG00000070047	PHRF1
ENSG00000164675	IQUB
ENSG00000164683	HEY1
ENSG00000164684	ZNF704
ENSG00000164690	SHH
ENSG00000164694	FNDC1
ENSG00000164695	CHMP4C
ENSG00000164707	SLC13A4
ENSG00000070061	ELP1
ENSG00000164708	PGAM2
ENSG00000164713	BRI3
ENSG00000164715	LMTK2
ENSG00000164733	CTSB
ENSG00000164742	ADCY1
ENSG00000164744	SUN3
ENSG00000070081	NUCB2
ENSG00000164746	C7orf57
ENSG00000164749	HNF4G
ENSG00000164754	RAD21
ENSG00000164758	MED30
ENSG00000164761	TNFRSF11B
ENSG00000164764	SBSPON
ENSG00000164776	PHKG1
ENSG00000164778	EN2
ENSG00000164794	KCNV1
ENSG00000164796	CSMD3
ENSG00000164808	SPIDR
ENSG00000164815	ORC5
ENSG00000164823	OSGIN2
ENSG00000164828	SUN1
ENSG00000164830	OXR1
ENSG00000070159	PTPN3
ENSG00000164841	TMEM74
ENSG00000164849	GPR146
ENSG00000164850	GPER1
ENSG00000164853	UNCX
ENSG00000164867	NOS3
ENSG00000164877	MICALL2
ENSG00000164879	CA3
ENSG00000070182	SPTB
ENSG00000164889	SLC4A2
ENSG00000164897	TMUB1
ENSG00000164900	GBX1
ENSG00000070190	DAPP1
ENSG00000164930	FZD6
ENSG00000164932	CTHRC1
ENSG00000164938	TP53INP1
ENSG00000164941	INTS8
ENSG00000164944	VIRMA
ENSG00000070193	FGF10
ENSG00000164946	FREM1
ENSG00000164949	GEM
ENSG00000164951	PDP1
ENSG00000164953	TMEM67
ENSG00000164961	WASHC5
ENSG00000164970	FAM219A
ENSG00000164972	C9orf24
ENSG00000164975	SNAPC3
ENSG00000070214	SLC44A1
ENSG00000164985	PSIP1
ENSG00000165029	ABCA1
ENSG00000070269	TMEM260
ENSG00000165060	FXN
ENSG00000165061	ZMAT4
ENSG00000165066	NKX6-3
ENSG00000165071	TMEM71
ENSG00000165072	MAMDC2
ENSG00000165078	CPA6
ENSG00000165084	C8orf34
ENSG00000165091	TMC1
ENSG00000070366	SMG6
ENSG00000165097	KDM1B
ENSG00000165102	HGSNAT
ENSG00000165105	RASEF
ENSG00000165113	GKAP1
ENSG00000165115	KIF27
ENSG00000165118	C9orf64
ENSG00000165120	SSMEM1
ENSG00000165125	TRPV6
ENSG00000070367	EXOC5
ENSG00000165131	LLCFC1
ENSG00000165138	ANKS6
ENSG00000165156	ZHX1
ENSG00000165164	CFAP47
ENSG00000165168	CYBB
ENSG00000165175	MID1IP1
ENSG00000070371	CLTCL1
ENSG00000165181	C9orf84
ENSG00000165182	CXorf58
ENSG00000165185	KIAA1958
ENSG00000165186	PTCHD1
ENSG00000165188	RNF183
ENSG00000165192	ASB11
ENSG00000165194	PCDH19
ENSG00000165195	PIGA
ENSG00000165197	VEGFD
ENSG00000165202	OR1Q1
ENSG00000070388	FGF22
ENSG00000165209	STRBP
ENSG00000165219	GAPVD1
ENSG00000165238	WNK2
ENSG00000165240	ATP7A
ENSG00000165244	ZNF367
ENSG00000165259	HDX
ENSG00000070404	FSTL3
ENSG00000165271	NOL6
ENSG00000165272	AQP3
ENSG00000165275	TRMT10B
ENSG00000165280	VCP
ENSG00000165282	PIGO
ENSG00000165283	STOML2
ENSG00000165288	BRWD3
ENSG00000165300	SLITRK5
ENSG00000165309	ARMC3
ENSG00000165312	OTUD1
ENSG00000165322	ARHGAP12
ENSG00000165323	FAT3
ENSG00000165338	HECTD2
ENSG00000165355	FBXO33
ENSG00000165370	GPR101
ENSG00000165376	CLDN2
ENSG00000005893	LAMP2
ENSG00000165379	LRFN5
ENSG00000165383	LRRC18
ENSG00000165392	WRN
ENSG00000165406	MARCH8
ENSG00000165409	TSHR
ENSG00000165417	GTF2A1
ENSG00000165424	ZCCHC24
ENSG00000070444	MNT
ENSG00000165434	PGM2L1
ENSG00000165443	PHYHIPL
ENSG00000165449	SLC16A9
ENSG00000165458	INPPL1
ENSG00000165462	PHOX2A
ENSG00000165474	GJB2
ENSG00000165475	CRYL1
ENSG00000165476	REEP3
ENSG00000165478	HEPACAM
ENSG00000165487	MICU2
ENSG00000165490	DDIAS
ENSG00000165494	PCF11
ENSG00000165495	PKNOX2
ENSG00000165501	LRR1
ENSG00000165507	C10orf10
ENSG00000070495	JMJD6
ENSG00000165512	ZNF22
ENSG00000165516	KLHDC2
ENSG00000165521	EML5
ENSG00000165525	NEMF
ENSG00000165526	RPUSD4
ENSG00000165527	ARF6
ENSG00000165533	TTC8
ENSG00000165548	TMEM63C
ENSG00000165553	NGB
ENSG00000165555	NOXRED1
ENSG00000070501	POLB
ENSG00000165556	CDX2
ENSG00000165566	AMER2
ENSG00000165606	DRGX
ENSG00000165609	NUDT5
ENSG00000165617	DACT1
ENSG00000165621	OXGR1
ENSG00000165623	UCMA
ENSG00000165626	BEND7
ENSG00000165632	TAF3
ENSG00000165633	VSTM4
ENSG00000165637	VDAC2
ENSG00000165643	SOHLH1
ENSG00000165646	SLC18A2
ENSG00000165650	PDZD8
ENSG00000070540	WIPI1
ENSG00000165655	ZNF503
ENSG00000165661	QSOX2
ENSG00000165671	NSD1
ENSG00000165675	ENOX2
ENSG00000165682	CLEC1B
ENSG00000165684	SNAPC4
ENSG00000165685	TMEM52B
ENSG00000165688	PMPCA
ENSG00000070601	FRMPD1
ENSG00000165694	FRMD7
ENSG00000165695	AK8
ENSG00000165698	SPACA9
ENSG00000165702	GFI1B
ENSG00000165716	FAM69B
ENSG00000165724	ZMYND19
ENSG00000165730	STOX1
ENSG00000070610	GBA2
ENSG00000165731	RET
ENSG00000165733	BMS1
ENSG00000165752	STK32C
ENSG00000165757	JCAD
ENSG00000165792	METTL17
ENSG00000165794	SLC39A2
ENSG00000070614	NDST1
ENSG00000165795	NDRG2
ENSG00000165801	ARHGEF40
ENSG00000165804	ZNF219
ENSG00000165805	C12orf50
ENSG00000165806	CASP7
ENSG00000165813	CCDC186
ENSG00000005961	ITGA2B
ENSG00000165816	VWA2
ENSG00000165821	SALL2
ENSG00000165832	TRUB1
ENSG00000165837	ERICH6B
ENSG00000165861	ZFYVE1
ENSG00000165863	C10orf82
ENSG00000165868	HSPA12A
ENSG00000070718	AP3M2
ENSG00000165887	ANKRD2
ENSG00000165891	E2F7
ENSG00000165895	ARHGAP42
ENSG00000165898	ISCA2
ENSG00000165899	OTOGL
ENSG00000165905	LARGE2
ENSG00000165912	PACSIN3
ENSG00000165915	SLC39A13
ENSG00000070729	CNGB1
ENSG00000165923	AGBL2
ENSG00000165929	TC2N
ENSG00000165934	CPSF2
ENSG00000165953	SERPINA12
ENSG00000165959	CLMN
ENSG00000070731	ST6GALNAC2
ENSG00000165970	SLC6A5
ENSG00000165972	CCDC38
ENSG00000165973	NELL1
ENSG00000165983	PTER
ENSG00000165985	C1QL3
ENSG00000165995	CACNB2
ENSG00000165996	HACD1
ENSG00000165997	ARL5B
ENSG00000070748	CHAT
ENSG00000166006	KCNC2
ENSG00000166016	ABTB2
ENSG00000166024	R3HCC1L
ENSG00000166025	AMOTL1
ENSG00000166033	HTRA1
ENSG00000166035	LIPC
ENSG00000166037	CEP57
ENSG00000166046	TCP11L2
ENSG00000166069	TMCO5A
ENSG00000166073	GPR176
ENSG00000166086	JAM3
ENSG00000166090	IL25
ENSG00000166091	CMTM5
ENSG00000166106	ADAMTS15
ENSG00000166111	SVOP
ENSG00000166118	SPATA19
ENSG00000070759	TESK2
ENSG00000166123	GPT2
ENSG00000166126	AMN
ENSG00000166128	RAB8B
ENSG00000166130	IKBIP
ENSG00000166143	PPP1R14D
ENSG00000166147	FBN1
ENSG00000070761	CFAP20
ENSG00000166148	AVPR1A
ENSG00000166159	LRTM2
ENSG00000166166	TRMT61A
ENSG00000166167	BTRC
ENSG00000166169	POLL
ENSG00000166171	DPCD
ENSG00000166173	LARP6
ENSG00000166181	API5
ENSG00000166183	ASPG
ENSG00000166199	ALKBH3
ENSG00000166200	COPS2
ENSG00000166206	GABRB3
ENSG00000166220	TBATA
ENSG00000166224	SGPL1
ENSG00000166225	FRS2
ENSG00000166226	CCT2
ENSG00000166228	PCBD1
ENSG00000166233	ARIH1
ENSG00000166246	C16orf71
ENSG00000166250	CLMP
ENSG00000166257	SCN3B
ENSG00000001460	STPG1
ENSG00000005981	ASB4
ENSG00000166261	ZNF202
ENSG00000166262	FAM227B
ENSG00000166266	CUL5
ENSG00000070808	CAMK2A
ENSG00000166289	PLEKHF1
ENSG00000166292	TMEM100
ENSG00000166311	SMPD1
ENSG00000166313	APBB1
ENSG00000166317	SYNPO2L
ENSG00000166321	NUDT13
ENSG00000166323	C11orf65
ENSG00000166326	TRIM44
ENSG00000166329	CCDC182
ENSG00000166333	ILK
ENSG00000166340	TPP1
ENSG00000166341	DCHS1
ENSG00000166342	NETO1
ENSG00000166348	USP54
ENSG00000166349	RAG1
ENSG00000166352	C11orf74
ENSG00000166359	WDR88
ENSG00000166377	ATP9B
ENSG00000166387	PPFIBP2
ENSG00000166394	CYB5R2
ENSG00000166396	SERPINB7
ENSG00000166398	KIAA0355
ENSG00000166401	SERPINB8
ENSG00000166402	TUB
ENSG00000166405	RIC3
ENSG00000070882	OSBPL3
ENSG00000166415	WDR72
ENSG00000166426	CRABP1
ENSG00000166428	PLD4
ENSG00000166436	TRIM66
ENSG00000166439	RNF169
ENSG00000070886	EPHA8
ENSG00000166446	CDYL2
ENSG00000166448	TMEM130
ENSG00000166450	PRTG
ENSG00000166451	CENPN
ENSG00000166452	AKIP1
ENSG00000166455	C16orf46
ENSG00000166471	TMEM41B
ENSG00000166477	LEO1
ENSG00000070915	SLC12A3
ENSG00000166478	ZNF143
ENSG00000166479	TMX3
ENSG00000166483	WEE1
ENSG00000166501	PRKCB
ENSG00000166503	HDGFL3
ENSG00000166508	MCM7
ENSG00000166509	CLEC3A
ENSG00000070950	RAD18
ENSG00000166510	CCDC68
ENSG00000166523	CLEC4E
ENSG00000166526	ZNF3
ENSG00000166529	ZSCAN21
ENSG00000166548	TK2
ENSG00000166557	TMED3
ENSG00000070961	ATP2B1
ENSG00000166558	SLC38A8
ENSG00000166569	CPLX4
ENSG00000166573	GALR1
ENSG00000166575	TMEM135
ENSG00000166578	IQCD
ENSG00000166579	NDEL1
ENSG00000166582	CENPV
ENSG00000166589	CDH16
ENSG00000166592	RRAD
ENSG00000166596	CFAP52
ENSG00000166598	HSP90B1
ENSG00000166603	MC4R
ENSG00000166619	BLCAP
ENSG00000166634	SERPINB12
ENSG00000166669	ATF7IP2
ENSG00000166676	TVP23A
ENSG00000071051	NCK2
ENSG00000166682	TMPRSS5
ENSG00000166685	COG1
ENSG00000166689	PLEKHA7
ENSG00000166710	B2M
ENSG00000166716	ZNF592
ENSG00000166734	CASC4
ENSG00000166736	HTR3A
ENSG00000166741	NNMT
ENSG00000166747	AP1G1
ENSG00000071054	MAP4K4
ENSG00000166788	SAAL1
ENSG00000166793	YPEL4
ENSG00000166794	PPIB
ENSG00000071073	MGAT4A
ENSG00000166813	KIF7
ENSG00000166816	LDHD
ENSG00000166819	PLIN1
ENSG00000166825	ANPEP
ENSG00000166828	SCNN1G
ENSG00000166831	RBPMS2
ENSG00000166833	NAV2
ENSG00000166839	ANKDD1A
ENSG00000166847	DCTN5
ENSG00000166848	TERF2IP
ENSG00000166851	PLK1
ENSG00000166856	GPR182
ENSG00000166860	ZBTB39
ENSG00000071127	WDR1
ENSG00000166862	CACNG2
ENSG00000166863	TAC3
ENSG00000166866	MYO1A
ENSG00000166884	OR4D6
ENSG00000166886	NAB2
ENSG00000166887	VPS39
ENSG00000166888	STAT6
ENSG00000166889	PATL1
ENSG00000071189	SNX13
ENSG00000166896	ATP23
ENSG00000166897	ELFN2
ENSG00000166900	STX3
ENSG00000166908	PIP4K2C
ENSG00000166912	MTMR10
ENSG00000166922	SCG5
ENSG00000166923	GREM1
ENSG00000166925	TSC22D4
ENSG00000166928	MS4A14
ENSG00000166930	MS4A5
ENSG00000166938	DIS3L
ENSG00000166947	EPB42
ENSG00000166948	TGM6
ENSG00000166949	SMAD3
ENSG00000166961	MS4A15
ENSG00000166963	MAP1A
ENSG00000166971	AKTIP
ENSG00000166979	EVA1C
ENSG00000071242	RPS6KA2
ENSG00000166997	CNPY4
ENSG00000167014	TERB2
ENSG00000167034	NKX3-1
ENSG00000167037	SGSM1
ENSG00000167074	TEF
ENSG00000071243	ING3
ENSG00000167080	B4GALNT2
ENSG00000167081	PBX3
ENSG00000167083	GNGT2
ENSG00000167085	PHB
ENSG00000167088	SNRPD1
ENSG00000167094	TTC16
ENSG00000167098	SUN5
ENSG00000167100	SAMD14
ENSG00000167103	PIP5KL1
ENSG00000071246	VASH1
ENSG00000167104	BPIFB6
ENSG00000167106	FAM102A
ENSG00000167107	ACSF2
ENSG00000167113	COQ4
ENSG00000167114	SLC27A4
